circrna_id,cell_type,expression_mean,detection_rate
circ_00000,CD4+ T cells,6.853187697104169,0.7763588845559907
circ_00001,Dendritic cells,0.46645515541290816,0.8782407004899142
circ_00002,CD8+ T cells,7.306395975170049,0.8443895327748943
circ_00003,Macrophages,0.47810887301902527,0.19097859072348122
circ_00004,Macrophages,7.371125904047011,0.5911952029496785
circ_00005,Macrophages,9.760226536540372,0.289925153350166
circ_00006,Dendritic cells,8.413214287266275,0.16401633562983486
circ_00007,Macrophages,3.094267374666156,0.8699993988368901
circ_00008,CD8+ T cells,6.36057052784288,0.8475323223622998
circ_00009,CD8+ T cells,4.0876946237644285,0.5213150051461839
circ_00010,B cells,9.887496848989505,0.7340816863963766
circ_00011,B cells,6.1826117366919,0.49246956265981123
circ_00012,CD8+ T cells,0.5728495681567269,0.8954465417329764
circ_00013,B cells,3.9448088365191203,0.1303815474781834
circ_00014,Macrophages,3.6632717283527105,0.3877305602393081
circ_00015,CD4+ T cells,8.887068323288297,0.29566667892078097
circ_00016,Dendritic cells,2.521617703294953,0.9634414023796394
circ_00017,Macrophages,2.4859828572551788,0.5629051283162869
circ_00018,CD8+ T cells,9.585897721056448,0.6063512503350337
circ_00019,CD4+ T cells,5.31992003258572,0.20676755598746918
circ_00020,CD4+ T cells,5.754334323432934,0.6627778141727038
circ_00021,NK cells,8.674069569596124,0.8632042842909695
circ_00022,Macrophages,1.9463245437832388,0.6584616002740734
circ_00023,CD4+ T cells,7.997831686123917,0.7454455915244222
circ_00024,CD8+ T cells,8.05643484559966,0.91186119898824
circ_00025,CD8+ T cells,0.9051392975355865,0.6851754950366078
circ_00026,CD4+ T cells,6.517675048761209,0.19472782296308205
circ_00027,B cells,1.8604136344587952,0.9432367302203326
circ_00028,B cells,1.3190129381776827,0.26994415650279646
circ_00029,Macrophages,4.903683557709994,0.6627059841010039
circ_00030,NK cells,0.7200906275566954,0.507889820948943
circ_00031,Macrophages,3.1948244886963795,0.7611805686693365
circ_00032,Macrophages,9.448582093787532,0.29849116151258914
circ_00033,CD8+ T cells,1.1517704055795375,0.4174804820124006
circ_00034,Macrophages,2.741707126676828,0.10887283018658656
circ_00035,Dendritic cells,3.89327033509553,0.487708201397721
