smiles,dose,freq,treatment_time,target_binding,immune_activation,immune_cell_activation,inflammation_risk,toxicity_risk,efficacy
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,2.597,0.6304,1366.4,0.913,0.3588,0.2676,0.1752,0.2873,0.624
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,522.93,0.7717,2850.6,0.9472,0.5127,0.4299,0.0555,0.296,0.8844
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,19.72,1.0956,4205.4,0.5462,0.1936,0.1294,0.0729,0.0278,0.5608
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1490.345,0.9045,2991.0,0.928,0.4176,0.4202,0.3326,0.1366,0.809
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,106.082,0.3199,1491.9,0.8026,0.5536,0.4321,0.1603,0.2338,0.6275
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,4.593,1.084,3069.1,0.9907,0.5545,0.5072,0.1076,0.0758,0.5668
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.518,0.7124,1422.8,1.0,0.4586,0.5372,0.1173,0.137,0.6133
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,62.463,0.3007,1361.7,0.8284,0.4668,0.3431,0.2567,0.3008,0.5891
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,248.774,1.8598,3165.8,0.9143,0.4924,0.4212,0.1711,0.0754,0.9008
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.544,0.9973,4010.1,0.9643,0.3345,0.4256,0.0185,0.1128,0.6576
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,370.071,0.3155,2417.9,0.9582,0.7146,0.6012,0.3764,0.293,0.8434
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1401.981,1.0846,2494.0,0.9043,0.26,0.2025,0.2764,0.1237,0.8477
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,196.552,0.348,1671.0,0.9828,0.2589,0.1793,0.2918,0.4819,0.8178
N.N.[Pt]=O,38.221,0.352,1613.9,0.3796,0.5409,0.4887,0.1197,0.1086,0.409
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,283.925,1.0222,2667.8,0.9477,0.4358,0.3611,0.3638,0.2315,0.8926
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1442.424,0.6098,1706.9,0.8766,0.3236,0.2208,0.1452,0.1586,0.8053
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,111.279,0.3482,1376.7,0.75,0.5098,0.4766,0.3244,0.626,0.649
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,213.648,0.2982,2422.5,0.8696,0.8288,0.761,0.279,0.1625,0.7648
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,19.211,1.0791,4542.4,0.5323,0.2905,0.3344,0.0,0.0089,0.4146
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,4.939,1.0787,2838.2,0.9316,0.6632,0.5537,0.1483,0.0657,0.6215
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,142.08,1.8458,2561.4,0.882,0.382,0.4285,0.1013,0.0553,0.7649
