smiles,dose,freq,efficacy
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,2.597,0.6304,0.624
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,522.93,0.7717,0.8844
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,19.72,1.0956,0.5608
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1490.345,0.9045,0.809
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,106.082,0.3199,0.6275
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,4.593,1.084,0.5668
CCCCCCCCC1CC2C3OC2CCC4C5OCC6CC(CC6C5O)CC4C3CC1O,1.518,0.7124,0.6133
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,62.463,0.3007,0.5891
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,248.774,1.8598,0.9008
CC1C2=NC3=CC=CC=C3N2C(=O)NC1C(=O)NC4=CC(=C(C=C4F)F)F,0.544,0.9973,0.6576
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,370.071,0.3155,0.8434
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1401.981,1.0846,0.8477
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,196.552,0.348,0.8178
N.N.[Pt]=O,38.221,0.352,0.409
CC1=NC2=CC=CC=C2N1C3=CC=C(C=C3)C4=NC5=CC=CC=C5N4C(C)C,283.925,1.0222,0.8926
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,1442.424,0.6098,0.8053
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,111.279,0.3482,0.649
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,213.648,0.2982,0.7648
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,19.211,1.0791,0.4146
CC1CCCCC1N2C(=O)C3C4CCC(O)CC4N(C)C3C5=CC=CC=C5C2=O,4.939,1.0787,0.6215
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,142.08,1.8458,0.7649
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,67.206,0.3574,0.6135
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(C(CC5(C)O)CC4C2(C)O)O)C)C2CC(CC(O)C(O)C(CO)C2O)OC(=O)C,159.809,0.342,0.7533
CCC1(CC2C(C1)CC1C3C2N(CC2C(C3C2O)O)C)C=CC=C1,14.047,0.9255,0.5695
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,258.502,1.0823,0.8848
N.N.[Pt]=O,72.759,0.2984,0.3951
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,318.568,0.8144,0.8687
CC1CC(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)C)C)C,169.8,0.3081,0.7988
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC=CN=C3)C4=CC(=CC(=C4)N5CCNC5=O)C6=CN=CC=C6,504.988,0.6993,0.7782
CC1C(C(CC(O1)OC2CC(CC3=C2C4=CC5=C(C=C4C(=C3O)O)C(=O)C6=CC=CC=C6C5=O)O)O)N,29.038,0.2998,0.5917
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,18.438,0.9856,0.5167
CC1=NC(=NC(=N1)NC2=CC=C(C=C2)OCC3CC3)NC4=CC=CC5=C4C(=O)NN5,604.037,1.9038,0.905
CS(=O)(=O)NNC(=O)C1=CC=CC=C1SC2=NC3=CC=CC=C3N=C2C4=CC(=CC=C4)F,1467.687,0.9137,0.8698
CN1C(=O)CN=C(C2=CN=CC=C2)C3=CC(=CC(=C3)N4CCNCC4)C5=CN=CC=C5,274.192,0.7757,0.7692
CC/C(=C(\c1ccccc1)/c1ccccc1)c1ccc(OCCN(C)C)cc1,36.169,0.9111,0.5474
CN1C(=O)CN=C(C2=CC(=CC=N2)C3=CC(=CC=C3)N4CCNCC4)C5=CC(=CC(=C5)N6CCNCC6)C7=CN=CC=C7,132.021,1.8142,0.8263
CC1=C2C(=O)C(C(=O)C3C1(CC1CC4C5CC(CC5(C)O)CC4C2(C)O)C)C2CC(CC(O)C(OC(=O)C)C2OC(=O)C)OC(=O)C,216.611,0.317,0.7526
CC(=O)N1CCN(CC1)C2=CC(=CC=C2)C3=NC4=CC=CC=C4N=C3SC5=CC=CC=C5Cl,457.823,0.9679,0.811
