IsRNAcirc Pseudo-labels Summary
==================================================
Total structures: 34
Length range: 161-435
Source: IsRNAcirc (DongZhangRNA/IsRNAcirc)
Scoring: DFIRE-RNA, rsRNASP

ID                   Length   DFIRE      rsRNASP   
circASAP1            229      -209891.03122 -17842.25661
circEZH2             253      -209076.078217 -16354.40756
circFKBP8            259      -215929.560686 -19077.127731
circLDLRAD3          346      -209067.859459 -18061.305133
circRELL1            434      -210115.948358 -18257.618937
circARID1B           286      -173641.72188 -16979.661723
circASXL1            195      -167448.97665 -15018.6256
circCNN2             205      -169066.822489 -17476.544964
circDHX34            218      -176166.123587 -18107.725695
circFCHO2            268      -175308.001829 -16606.520644
circKIAA0368         435      -140565.405321 -13149.291332
circPIP5K1C          249      -145448.872016 -13989.785741
circPOLR2A           336      -143946.1985 -13754.700032
circPROSC            220      -139030.985311 -11711.176323
circTBCD             389      -139797.385465 -13706.938952
circVAPB             258      -321092.978278 -25946.165263
circCAMSAP1          425      -325960.448631 -29420.245312
circCCNB1            378      -315958.083954 -28945.347982
circDYNC1H1          251      -313603.826038 -28191.110021
circFGFR1_2          315      0.0        0.0       
circMBOTA2           224      -283920.748894 -22962.530874
circPHF21A           277      -268141.041166 -22149.699327
circPPP1CB           224      -276499.644826 -22688.544949
circPVT1             410      -280191.755708 -24431.244588
circRTN4             347      -285015.222522 -28064.615291
circSDHAF2           334      -153830.365603 -14199.699356
circSMARCA5          269      -154388.201022 -15559.435449
circTMEM181          324      -149962.37258 -13923.065654
circUIMC1            397      -153261.469156 -14568.828195
circEPHB4            362      -151717.91748 -15580.942815
circFGFR1_1          179      -168485.52556 -15266.307317
circPTK2             394      -164480.6804 -16865.50655
circSLC22A23         259      -172178.951005 -18365.886277
circSNHG4            161      -166225.343208 -16748.547101
