# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr10	28196591	28233891	-	hsa_circ_0018046	37300	1224	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018076	ARMC4	Salzman2013
chr16	67899004	67902314	+	hsa_circ_0039868	3310	200	Huvec, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_005796	NUTF2	Salzman2013
chr9	134021515	134022971	+	hsa_circ_0089160	1456	271	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005085	NUP214	Salzman2013
chr19	7511928	7534915	+	hsa_circ_0048972	22987	2302	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001130955	ARHGEF18	Salzman2013
chr10	72238563	72289087	+	hsa_circ_0018658	50524	569	Huvec	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_014431	KIAA1274	Salzman2013
chr3	160952514	160960441	+	hsa_circ_0067857	7927	660	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015938	NMD3	Salzman2013
chr10	93756125	93768965	+	hsa_circ_0019137	12840	794	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003972	BTAF1	Salzman2013
chr22	36889679	36889850	-	hsa_circ_0063162	171	171	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024955	FOXRED2	Salzman2013
chr9	98669359	98691146	+	hsa_circ_0087609	21787	1157	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001010895	C9orf102	Salzman2013
chr11	34969052	34991833	+	hsa_circ_0006254	22781	723	Hs68_RNase, Hs68_control, K562, H1hesc, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003477	PDHX	Jeck2013, Salzman2013
chr9	134348894	134367647	+	hsa_circ_0089222	18753	4366	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013318	PRRC2B	Salzman2013
chr12	57892202	57898082	+	hsa_circ_0027266	5880	481	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004990	MARS	Salzman2013
chr7	138595891	138597206	-	hsa_circ_0082617	1315	267	Hepg2, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164665	KIAA1549	Salzman2013
chr8	134256597	134260169	-	hsa_circ_0085648	3572	136	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001135242	NDRG1	Salzman2013
chr15	62214595	62223458	-	hsa_circ_0035589	8863	1107	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001018088	VPS13C	Salzman2013
chr16	27341386	27353580	+	hsa_circ_0038716	12194	360	A549	LINE	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_000418	IL4R	Salzman2013
chr16	69196985	69199429	+	hsa_circ_0040034	2444	282	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032830	CIRH1A	Salzman2013
chr3	49722903	49725330	-	hsa_circ_0065709	2427	1329	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020998	MST1	Salzman2013
chr3	142083888	142095436	-	hsa_circ_0067617	11548	679	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019001	XRN1	Salzman2013
chr1	155887289	155891709	-	hsa_circ_0014638	4420	486	Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014949	KIAA0907	Salzman2013
chr10	88659550	88684945	+	hsa_circ_0019023	25395	2735	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004329	BMPR1A	Salzman2013
chr16	70162861	70177561	+	hsa_circ_0040131	14700	1311	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017990	PDPR	Salzman2013
chr4	39459813	39459929	-	hsa_circ_0069477	116	116	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001024921	RPL9	Salzman2013
chr17	40839737	40852011	+	hsa_circ_0043875	12274	4194	Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_003632	CNTNAP1	Salzman2013
chr1	220178589	220180680	-	hsa_circ_0016485	2091	458	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004446	EPRS	Salzman2013
chr8	25158091	25232170	+	hsa_circ_0083703	74079	3052	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024940	DOCK5	Salzman2013
chr2	208591565	208607066	+	hsa_circ_0057959	15501	344	Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_152523	CCNYL1	Salzman2013
chr19	39083921	39090793	-	hsa_circ_0050862	6872	865	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_007181	MAP4K1	Salzman2013
chr3	50112633	50114685	+	hsa_circ_0065785	2052	375	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005777	RBM6	Salzman2013
chr11	68552282	68552478	-	hsa_circ_0000335	196	196	cd_19, cd_34, K562, Helas3, Ag04450, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL	NM_001876	CPT1A	Memczak2013, Salzman2013
chr10	99946223	99969656	+	hsa_circ_0019389	23433	23433	K562, Gm12878, Ag04450	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_014472	C10orf28	Salzman2013
chr16	18871394	18871532	-	hsa_circ_0038287	138	138	Hepg2, Gm12878	SINE	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_015092	SMG1	Salzman2013
